Proteome Id,Organism,Organism Id,Protein count,CPD,Taxon mnemonic,Components,Genome assembly ID,Genome representation,Complete,Single,Double,Fragmented,Missing,Count,Taxonomy_Root,Taxonomy_Domain,Taxonomy_Clade1,Taxonomy_Phylum,Taxonomy_Clade2,Taxonomy_Class,Taxonomy_Order,Taxonomy_Family,Taxonomy_Genus,Taxonomy_Species,Taxonomy_Level_11
UP000199451,Halogranum gelatinilyticum,660521,3752,Unknown,9EURY,Unassembled WGS sequence,GCA_900103715.1,full,99.7,99.6,0.1,0.1,0.2,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,,
UP000199607,Halogranum rubrum,553466,4515,Unknown,9EURY,Unassembled WGS sequence,GCA_900114455.1,full,99.6,99.1,0.5,0.0,0.4,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,,
UP000218083,Halorubrum salipaludis,2032630,3214,Unknown,9EURY,Unassembled WGS sequence,GCA_002286985.1,full,97.9,97.0,0.9,0.3,1.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000219689,Natrinema ejinorense,373386,4191,Unknown,9EURY,Unassembled WGS sequence,GCA_002494345.1,full,99.9,99.3,0.7,0.0,0.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP000222824,Halorubrum persicum,1383844,3256,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_002727125.1,full,96.0,95.0,1.0,0.4,3.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000236740,Halobellus limi,699433,3637,Unknown,9EURY,Unassembled WGS sequence,GCA_900108165.1,full,99.4,98.7,0.7,0.0,0.6,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,,
UP000255421,Halopelagius longus,1236180,3653,Unknown,9EURY,Unassembled WGS sequence,GCA_003351065.1,full,98.7,98.2,0.6,0.2,1.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halopelagius,,
UP000268233,Haloarcula quadrata,182779,4371,Unknown,9EURY,Unassembled WGS sequence,GCA_003634715.1,full,99.7,99.2,0.4,0.1,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000273828,Natrarchaeobius halalkaliphilus,1679091,3330,Unknown,9EURY,Unassembled WGS sequence,GCA_003841485.1,full,96.7,96.0,0.7,0.1,3.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,,
UP000281431,Natrarchaeobius chitinivorans,1679083,4321,Outlier (high value),NATCH,Unassembled WGS sequence,GCA_003841465.1,full,98.0,96.6,1.4,0.2,1.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,,
UP000281564,Halonotius pteroides,268735,2948,Unknown,9EURY,Unassembled WGS sequence,GCA_003605635.1,full,95.6,93.1,2.4,0.3,4.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halonotius,,
UP000282322,Halocatena pleomorpha,1785090,3340,Unknown,9EURY,Unassembled WGS sequence,GCA_003862495.1,full,96.2,95.8,0.4,0.4,3.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halocatena,,
UP000282323,Natrarchaeobius chitinivorans,1679083,4237,Unknown,NATCH,Unassembled WGS sequence,GCA_003841505.1,full,97.5,97.0,0.5,0.1,2.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrarchaeobius,,
UP000289691,Halorientalis pallida,2479928,3984,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_004118325.1,full,99.8,99.6,0.2,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,,
UP000304382,Haloarcula mannanilytica,2509225,4215,Unknown,9EURY,Unassembled WGS sequence,GCA_005406125.1,full,99.6,98.8,0.8,0.1,0.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000308037,Natronomonas salsuginis,2217661,2818,Outlier (low value),9EURY,Unassembled WGS sequence,GCA_005239135.1,full,98.5,97.7,0.8,0.1,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,,
UP000318864,Salinadaptatus halalkaliphilus,2419781,4165,Unknown,9EURY,Unassembled WGS sequence,GCA_006543045.1,full,98.5,98.0,0.5,0.1,1.4,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Salinadaptatus,,
UP000319712,Halorubrum cibi,413815,3112,Unknown,9EURY,Unassembled WGS sequence,GCA_900182635.1,full,97.6,96.8,0.8,0.6,1.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000319894,Haloglomus irregulare,2234134,3668,Unknown,9EURY,Unassembled WGS sequence,GCA_007421925.1,full,97.6,97.0,0.6,0.1,2.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloglomus,,
UP000324020,Halorubrum xinjiangense,261291,3113,Unknown,9EURY,Unassembled WGS sequence,GCA_900102375.1,full,98.0,97.0,1.0,0.3,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000434101,Natronorubrum halalkaliphilum,2691917,4155,Unknown,9EURY,Unassembled WGS sequence,GCA_009834785.1,full,98.6,96.8,1.8,0.0,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,,
UP000439022,Haloferax litoreum,2666140,3493,Standard,9EURY,Unassembled WGS sequence,GCA_009674605.1,full,99.2,98.6,0.7,0.1,0.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000443423,Haloferax marinum,2666143,3370,Unknown,9EURY,Unassembled WGS sequence,GCA_009674625.1,full,99.9,99.6,0.3,0.0,0.1,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000474628,Haloferax marinisediminis,2666142,3333,Unknown,9EURY,Unassembled WGS sequence,GCA_009674585.1,full,99.2,98.7,0.5,0.0,0.8,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP000546257,Halobellus ruber,2761102,3285,Unknown,9EURY,Unassembled WGS sequence,GCA_014212355.1,full,98.0,97.3,0.7,0.0,2.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,,
UP000605784,Haloarcula pellucida,1427151,4005,Unknown,9EURY,Unassembled WGS sequence,GCA_014647235.1,full,99.2,98.3,0.9,0.0,0.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000607197,Halocalculus aciditolerans,1383812,3498,Standard,9EURY,Unassembled WGS sequence,GCA_014647475.1,full,97.6,97.0,0.6,0.2,2.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halocalculus,,
UP000614609,Halarchaeum rubridurum,489911,2860,Unknown,9EURY,Unassembled WGS sequence,GCA_014647115.1,full,96.6,95.1,1.4,0.4,3.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,,
UP000766550,Haloarcula limicola,1429915,3863,Close to standard (high value),9EURY,Unassembled WGS sequence,GCA_019061235.1,full,100.0,99.2,0.8,0.0,0.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000766904,Natronococcus pandeyae,2055836,4930,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_008122205.1,full,98.9,96.7,2.2,0.0,1.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,,
UP000770586,Halorubrum trapanicum,29284,3036,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_017873555.1,full,98.0,97.1,0.9,0.3,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000783863,Haloarcula salinisoli,2487746,4027,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_019599405.1,full,99.7,98.6,1.1,0.0,0.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP000823588,Halorubrum alkaliphilum,261290,3129,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_017873815.1,full,97.0,96.2,0.8,0.3,2.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000823736,Halolamina salifodinae,1202767,2878,Unknown,9EURY,Unassembled WGS sequence,GCA_017874235.1,full,96.7,95.9,0.8,0.3,3.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,,
UP001016761,Haloterrigena gelatinilytica,2741724,4359,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_013342145.1,full,97.6,95.6,2.0,0.0,2.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,,
UP001058330,Haloferax larsenii,302484,3668,Unknown,HALLR,Plasmid pHl5678-2; Plasmid pHl5678-1; Chromosome,GCA_024730625.1,full,99.8,99.4,0.4,0.0,0.2,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,,
UP001139494,Natronomonas aquatica,2841590,3189,Unknown,9EURY,Unassembled WGS sequence,GCA_024449025.1,full,95.8,95.1,0.7,0.6,3.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,,
UP001154061,Natrinema salsiterrestre,2950540,4600,Unknown,9EURY,Unassembled WGS sequence,GCA_029502005.1,full,99.3,98.8,0.5,0.0,0.7,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,,
UP001202674,Natranaeroarchaeum aerophilus,2917711,3287,Unknown,9EURY,Unassembled WGS sequence,GCA_023638055.1,full,98.3,97.2,1.1,0.0,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,,
UP001203207,Natronocalculus amylovorans,2917812,3246,Unknown,9EURY,Unassembled WGS sequence,GCA_023638035.1,full,98.3,97.3,1.0,0.2,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Natronocalculus,,
UP001208186,Halapricum hydrolyticum,2979991,3282,Unknown,9EURY,Unassembled WGS sequence,GCA_025517535.1,full,96.2,94.7,1.5,0.2,3.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,,
UP001248536,Haloarcula argentinensis,43776,3984,Outlier (high value),HALAR,Unassembled WGS sequence,GCA_031624295.1,full,99.9,99.1,0.8,0.0,0.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001253439,Haloarcula terrestris,2950533,4118,Unknown,9EURY,Unassembled WGS sequence,GCA_031624315.1,full,99.8,98.7,1.1,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001254813,Halogeometricum luteum,2950537,4569,Unknown,9EURY,Unassembled WGS sequence,GCA_031624635.1,full,99.4,98.2,1.2,0.1,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,,
UP001257060,Halogeometricum salsisoli,2950536,4365,Unknown,9EURY,Unassembled WGS sequence,GCA_031624495.1,full,99.4,98.6,0.9,0.1,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,,
UP001259659,Haloarcula saliterrae,2950534,4206,Unknown,9EURY,Unassembled WGS sequence,GCA_031624395.1,full,99.6,98.3,1.2,0.0,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001268864,Haloarcula onubensis,2950539,4289,Unknown,9EURY,Unassembled WGS sequence,GCA_031624605.1,full,99.6,97.9,1.7,0.0,0.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001320972,Natronoglomus mannanivorans,2979990,4924,Unknown,9EURY,Unassembled WGS sequence,GCA_025517485.1,full,98.5,96.5,2.0,0.1,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronoglomus,,
UP001321047,Natronosalvus hydrolyticus,2979988,4160,Unknown,9EURY,Unassembled WGS sequence,GCA_025517525.1,full,97.9,97.0,0.9,0.1,2.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronosalvus,,
UP001430377,Haloarcula rubra,2487747,4663,Unknown,9EURY,Unassembled WGS sequence,GCA_019599465.1,full,100.0,97.9,2.1,0.0,0.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001430455,Haloarcula nitratireducens,2487749,5094,Unknown,9EURY,Unassembled WGS sequence,GCA_019599505.1,full,99.8,98.1,1.7,0.0,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,
UP001567571,Halorubrum ejinorense,425309,3324,Unknown,9EURY,Unassembled WGS sequence,GCA_041379805.1,full,97.9,96.9,1.0,0.4,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP001567572,Halorubrum miltondacostae,3076378,3433,Standard,9EURY,Unassembled WGS sequence,GCA_041379815.1,full,97.8,96.3,1.4,0.3,1.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP001570511,Halobellus rubicundus,2996466,3250,Unknown,9EURY,Unassembled WGS sequence,GCA_041477585.1,full,99.1,98.8,0.3,0.0,0.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,,
UP000198397,Halorubrum vacuolatum (Natronobacterium vacuolatum),63740,3371,Unknown,HALVU,Unassembled WGS sequence,GCA_900188065.1,full,96.0,94.9,1.1,0.1,3.9,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000199161,Natronobacterium haloterrestre (Halobiforma haloterrestris),148448,4334,Unknown,NATHA,Unassembled WGS sequence,GCA_900112205.1,full,98.3,96.9,1.4,0.2,1.4,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronobacterium,,
UP001210528,Halorubrum ezzemoulense (Halorubrum chaoviator),337243,4020,Unknown,HALEZ,Unassembled WGS sequence,GCA_028210945.1,full,98.0,96.3,1.7,0.3,1.7,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,,
UP000010878,Natronococcus occultus SP4,694430,4153,Unknown,9EURY,Plasmid 2; Chromosome; Plasmid 1,GCA_000328685.1,full,99.0,98.4,0.6,0.0,1.0,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,Natronococcus occultus,
UP000011566,Halococcus hamelinensis 100A6,1132509,3400,Unknown,9EURY,Unassembled WGS sequence,GCA_000336675.1,full,97.5,96.5,1.0,0.8,1.8,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus hamelinensis,
UP000011599,Natronorubrum tibetense GA33,1114856,4671,Unknown,9EURY,Unassembled WGS sequence,GCA_000337235.1,full,98.5,97.7,0.8,0.5,1.0,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum tibetense,
UP000018572,Haloarcula hispanica N601,1417673,3926,Unknown,HALHI,Chromosome 1; Chromosome 2; Plasmid pHH126; Plasmid pHH406,GCA_000504565.2,full,99.7,99.4,0.2,0.1,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica,
UP000460194,Halorubrum distributum,29283,3223,Unknown,9EURY,Unassembled WGS sequence,GCA_009856205.1,full,98.1,97.3,0.8,0.3,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum distributum group,
UP000011555,Natronobacterium lacisalsi AJ5,358396,4151,Unknown,NATLA,Unassembled WGS sequence,GCA_000336655.1,full,98.1,96.8,1.3,0.3,1.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronobacterium,Natronobacterium lacisalsi,
UP000184203,Haladaptatus paucihalophilus DX253,797209,4339,Unknown,HALPU,Unassembled WGS sequence,GCA_900142335.1,full,99.6,98.2,1.3,0.2,0.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus paucihalophilus,
UP000011509,Halorubrum coriense DSM 10284,1227466,3463,Unknown,9EURY,Unassembled WGS sequence,GCA_000337035.1,full,98.3,98.1,0.2,1.0,0.8,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum coriense,
UP000011513,Halogeometricum pallidum JCM 14848,1227487,4246,Unknown,HALPD,Unassembled WGS sequence,GCA_000337095.1,full,98.9,98.4,0.6,0.7,0.4,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halogeometricum,Halogeometricum pallidum,
UP000011514,Halorubrum saccharovorum DSM 1137,1227484,3231,Unknown,9EURY,Unassembled WGS sequence,GCA_000337915.1,full,97.2,96.3,0.9,0.6,2.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum saccharovorum,
UP000011519,Natrialba hulunbeirensis JCM 10989,1227493,3852,Unknown,9EURY,Unassembled WGS sequence,GCA_000337575.1,full,98.8,98.7,0.1,0.4,0.8,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba hulunbeirensis,
UP000011546,Halorubrum kocurii JCM 14978,1230456,3433,Unknown,9EURY,Unassembled WGS sequence,GCA_000337355.1,full,97.7,97.2,0.5,0.7,1.6,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum kocurii,
UP000011568,Halococcus morrhuae DSM 1307,931277,3035,Unknown,HALMO,Unassembled WGS sequence,GCA_000336695.1,full,95.7,95.0,0.7,1.1,3.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus morrhuae,
UP000011575,Halorubrum aidingense JCM 13560,1230454,2981,Unknown,9EURY,Unassembled WGS sequence,GCA_000336995.1,full,98.6,98.4,0.2,0.5,1.0,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum aidingense,
UP000011586,Halorubrum californiense DSM 19288,1227465,3454,Unknown,9EURY,Unassembled WGS sequence,GCA_000336875.1,full,96.8,96.5,0.3,0.4,2.8,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum californiense,
UP000011591,Natrialba aegyptia DSM 13077,1227491,4399,Unknown,9EURY,Unassembled WGS sequence,GCA_000337535.1,full,98.6,98.2,0.4,0.3,1.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba aegyptia,
UP000011592,Natrinema gari JCM 14663,1230459,4056,Outlier (high value),9EURY,Unassembled WGS sequence,GCA_000337175.1,full,97.3,95.2,2.1,0.7,2.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema gari,
UP000011602,Natronolimnohabitans innermongolicus JCM 12255,1227499,4400,Unknown,9EURY,Unassembled WGS sequence,GCA_000337215.1,full,96.9,95.8,1.1,0.6,2.5,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronolimnohabitans,Natronolimnohabitans innermongolicus,
UP000011625,Halococcus salifodinae DSM 8989,1227456,4078,Unknown,9EURY,Unassembled WGS sequence,GCA_000336935.1,full,98.6,97.1,1.4,0.4,1.0,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae,
UP000011648,Natrialba taiwanensis DSM 12281,1230458,4374,Unknown,9EURY,Unassembled WGS sequence,GCA_000337595.1,full,98.1,97.6,0.5,0.3,1.6,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natrialba,Natrialba taiwanensis,
UP000011650,Halorubrum lipolyticum DSM 21995,1227482,3220,Unknown,9EURY,Unassembled WGS sequence,GCA_000337375.1,full,99.1,98.9,0.2,0.2,0.7,1039.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum lipolyticum,
UP000011661,Natronorubrum sulfidifaciens JCM 14089,1230460,3428,Unknown,9EURY,Unassembled WGS sequence,GCA_000337735.1,full,98.2,98.1,0.1,0.2,1.5,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum sulfidifaciens,
UP000011669,Halococcus saccharolyticus DSM 5350,1227455,3441,Unknown,9EURY,Unassembled WGS sequence,GCA_000336915.1,full,98.5,97.8,0.7,0.4,1.1,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus saccharolyticus,
UP000011687,Haloarcula californiae ATCC 33799,662475,4369,Unknown,9EURY,Unassembled WGS sequence,GCA_000337755.1,full,99.4,99.0,0.4,0.2,0.3,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula californiae,
UP000011688,Natronococcus amylolyticus DSM 10524,1227497,4317,Unknown,9EURY,Unassembled WGS sequence,GCA_000337675.1,full,97.6,97.0,0.6,0.3,2.1,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronococcus,Natronococcus amylolyticus,
UP000011689,Halorubrum hochstenium ATCC 700873,1227481,2931,Close to standard (low value),9EURY,Unassembled WGS sequence,GCA_000337075.1,full,96.5,95.9,0.6,0.3,3.2,904.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum hochstenium,
UP000011690,Natronorubrum bangense JCM 10635,1227500,3979,Unknown,9EURY,Unassembled WGS sequence,GCA_000337715.1,full,97.4,96.9,0.5,0.7,1.9,1368.0,cellular organisms,Archaea,Methanobacteriati,Methanobacteriota,Stenosarchaea group,Halobacteria,Halobacteriales,Natrialbaceae,Natronorubrum,Natronorubrum bangense,
